2950, 334, 39.10, 13.96, 56.97, 0.26, 75.30
2952, 336, 40.00, 13.99, 56.99, 0.28, 74.90
2953, 338, 38.40, 14.10, 57.10, 0.28, 75.30
2954, 335, 38.80, 14.01, 56.97, 0.30, 75.80
2955, 331, 40.00, 12.83, 53.50, 0.25, 77.10
2956, 328, 38.80, 12.71, 53.21, 0.25, 77.20
2957, 321, 37.60, 11.52, 49.98, 0.26, 78.60
2958, 337, 37.80, 14.15, 56.94, 0.33, 75.00
2959, 324, 38.50, 11.78, 50.51, 0.25, 79.50
2960, 314, 39.30, 10.06, 45.73, 0.24, 79.60
2964, 146, 39.40, 1.70, 16.28, 0.14, 77.20
2965, 315, 40.40, 11.62, 51.06, 0.27, 78.40
2974, 112, 39.70, 0.60, 9.04, 0.08, 75.40
2975, 294, 39.30, 10.26, 48.21, 0.29, 71.00
2984, 24, 39.40, 2.36, 34.39, 0.08, 74.70
2985, 330, 39.20, 13.40, 56.78, 0.25, 73.90
2986, 334, 40.30, 13.67, 57.07, 0.29, 75.50
2987, 337, 38.10, 13.75, 56.89, 0.31, 72.30
2988, 333, 39.00, 13.06, 54.95, 0.30, 76.40
2989, 334, 39.70, 13.78, 56.88, 0.32, 77.00
2990, 325, 39.10, 12.15, 52.30, 0.25, 77.40
2991, 321, 38.90, 10.42, 47.19, 0.24, 78.40
2992, 318, 37.80, 9.92, 45.60, 0.24, 79.20
2993, 314, 39.10, 9.44, 44.27, 0.25, 79.30
2994, 330, 38.60, 13.87, 57.01, 0.28, 74.10
2996, 336, 38.60, 14.55, 58.68, 0.26, 76.10
2997, 333, 37.80, 13.61, 55.92, 0.33, 75.80
2998, 325, 39.80, 11.63, 50.40, 0.24, 77.40
2999, 304, 38.70, 8.46, 41.11, 0.24, 79.20
3000, 300, 38.60, 8.89, 42.69, 0.25, 80.50
3001, 284, 38.60, 6.69, 35.60, 0.23, 79.70
3002, 240, 39.00, 3.92, 25.63, 0.17, 79.00
3003, 263, 40.80, 5.31, 31.08, 0.20, 80.00
3004, 309, 40.60, 9.52, 44.69, 0.25, 78.30
3005, 317, 39.10, 9.83, 45.26, 0.24, 79.00
3006, 307, 39.10, 9.26, 43.55, 0.28, 76.90
3007, 301, 38.90, 7.81, 38.83, 0.22, 80.30
3017, 202, 38.30, 2.81, 22.00, 0.16, 75.90
3019, 331, 38.70, 13.61, 57.00, 0.30, 75.50
3020, 332, 39.50, 13.63, 56.79, 0.28, 75.20
3021, 333, 39.80, 12.84, 54.24, 0.26, 77.90
